WORD;POST_PROB_5;NUM_1_REVIEWS;NUM_5_REVIEWS
aggressive;0.578947368421053;8;11
aggressively;0;2;0
aggressor;0;1;0
agility;1;0;4
aging;1;0;4
agitated;0;1;0
ago;0.813186813186813;51;222
agony;0;1;0
agree;0.44;14;11
agreed;0.622222222222222;17;28
agreement;0.357142857142857;9;5
agrees;1;0;1
aground;1;0;1
ahead;0.704225352112676;21;50
aid;0.6;2;3
aide;1;0;3
aided;1;0;1
aides;1;0;1
aiding;1;0;1
ailing;1;0;2
ailment;0.5;1;1
ailments;0;1;0
aimed;1;0;2
aims;1;0;1
air;0.75609756097561;20;62
airbag;0;1;0
aircraft;0;4;0
airing;0.333333333333333;2;1
airlines;0;1;0
airport;0.4;9;6
airy;1;0;1
aisle;0.5;1;1
aka;0.666666666666667;3;6
alarm;0;3;0
alarmed;1;0;1
alas;0.333333333333333;2;1
albeit;0.5;1;1
album;1;0;1
albums;1;0;2
alcohol;0.6;2;3
alcoholic;1;0;1
alert;0.5;2;2
alerting;1;0;2
alerts;1;0;2
algae;0.555555555555556;4;5
align;1;0;1
aligners;1;0;1
aligning;1;0;1
alignment;0.857142857142857;1;6
alike;1;0;7
alive;1;0;6
alleged;0;1;0
allegedly;0;1;0
allegiance;1;0;2
allergens;1;0;1
allergic;0.454545454545455;6;5
allergies;0.666666666666667;2;4
allergy;0.857142857142857;2;12
alleviate;1;0;3
alleviated;1;0;3
alley;0.333333333333333;2;1
allocated;0.333333333333333;2;1
allot;1;0;2
allowed;0.619047619047619;24;39
allowing;0.636363636363636;4;7
ally;1;0;4
almond;1;0;2
aloe;1;0;3
aloha;1;0;1
alongside;1;0;1
aloof;0;1;0
aloud;0;3;0
alphabets;1;0;1
alright;0.5;1;1
altar;1;0;1
alterations;1;0;4
altercation;1;0;1
altered;1;0;2
altering;1;0;1
alternate;0.666666666666667;1;2
alternated;1;0;1
alternating;0;1;0
alternative;0.714285714285714;4;10
alternatively;0;1;0
alternatives;0.777777777777778;2;7
alternator;1;0;1
altimeter;1;0;1
altogether;0.5;1;1
altos;1;0;1
aluminum;0.666666666666667;1;2
alumni;1;0;9
amaretto;1;0;1
amassed;1;0;1
amateur;0;3;0
amateurs;0;1;0
amaze;1;0;2
amazed;1;0;38
amazing;0.990062111801242;16;1594
amazingly;0.909090909090909;2;20
amazon;0.555555555555556;4;5
ambassador;1;0;1
amber;0.833333333333333;1;5
ambiance;1;0;11
ambition;0.5;1;1
ambitious;1;0;1
ambulance;1;0;1
ambulatory;0;1;0
amending;1;0;1
amenities;0.818181818181818;6;27
amenity;0.333333333333333;2;1
amicable;1;0;1
amigo;0;2;0
ammo;0.666666666666667;3;6
ammunition;1;0;3
amount;0.583333333333333;45;63
amounts;1;0;6
amp;1;0;3
amphitheater;1;0;1
ample;0.857142857142857;1;6
amplify;1;0;1
amputation;1;0;1
amulets;1;0;2
amused;1;0;1
analyses;1;0;1
analysis;0.6;2;3
analytical;1;0;1
analyzed;1;0;2
analyzing;1;0;1
anatomy;0;2;0
anchor;1;0;1
ancillary;1;0;1
android;1;0;1
anecdotal;0;1;0
anesthesia;0.666666666666667;1;2
anesthesiologist;1;0;2
angel;1;0;20
angelic;1;0;1
angelica;1;0;4
angels;1;0;5
anger;0.166666666666667;5;1
angered;0;1;0
angle;1;0;1
angry;0.2;4;1
anguish;0;1;0
animal;0.8;2;8
animals;0.666666666666667;2;4
ankle;1;0;15
ankles;1;0;1
anniversaries;1;0;1
anniversary;0.916666666666667;1;11
announce;0.666666666666667;1;2
announced;0.5;1;1
announcement;1;0;1
announcer;1;0;1
annoyed;0.294117647058824;12;5
annoying;0;7;0
annual;0.793103448275862;6;23
annually;1;0;4
anonymous;0;1;0
answer;0.67953667953668;83;176
answered;0.913207547169811;23;242
answering;0.815384615384615;12;53
answers;0.733333333333333;28;77
ant;0.923076923076923;1;12
anterior;1;0;1
anther;0;1;0
antiaircraft;0;1;0
antibiotic;0;3;0
antibiotics;0.133333333333333;13;2
anticipate;0.666666666666667;1;2
anticipated;1;0;10
anticipating;0.5;1;1
anticipation;1;0;3
anticipatory;1;0;1
antique;1;0;5
antiques;1;0;5
antiquing;1;0;1
ants;0.866666666666667;2;13
anus;0;1;0
anvil;1;0;15
anvils;1;0;2
anxiety;0.96078431372549;2;49
anxious;1;0;13
anxiousness;1;0;1
anymore;0.584905660377359;22;31
anytime;0.88;6;44
apartment;0.505050505050505;98;100
apartments;0.689320388349515;32;71
apex;1;0;1
apologetic;0.5;2;2
apologies;0.5;1;1
apologize;0.0714285714285714;13;1
apologized;0.6;4;6
apologizing;0.333333333333333;2;1
apology;0.333333333333333;4;2
app;0.703703703703704;8;19
appalled;0.333333333333333;2;1
appalling;0;5;0
appallingly;0;1;0
apparel;1;0;2
apparent;0.75;2;6
apparently;0.244444444444444;34;11
appeal;0.666666666666667;1;2
appealing;1;0;5
appearance;0.642857142857143;5;9
appearances;1;0;1
appeared;0.75;2;6
appears;0.3;7;3
appetite;1;0;1
appetizer;1;0;6
appetizers;1;0;2
applaud;1;0;3
apple;0.65;7;13
apples;0;1;0
appliance;0.843373493975903;13;70
appliances;0.722222222222222;10;26
application;0.435897435897436;22;17
applications;1;0;1
applied;0.538461538461538;6;7
applies;1;0;1
apply;0.5;9;9
applying;0.666666666666667;2;4
appointed;1;0;2
appointment;0.615126050420168;229;366
appointments;0.789855072463768;29;109
appraisal;0.833333333333333;1;5
appraisals;1;0;1
appraiser;1;0;2
appreciate;0.971830985915493;6;207
appreciated;0.98;2;98
appreciates;1;0;2
appreciation;0.928571428571429;1;13
appreciative;0.95;1;19
apprehension;1;0;1
apprehensive;1;0;5
apprised;1;0;2
approach;0.852941176470588;5;29
approachable;1;0;7
approached;0.363636363636364;7;4
approaches;1;0;2
approaching;1;0;2
appropriate;0.80952380952381;4;17
appropriately;0;1;0
approval;0.72;7;18
approve;0.875;1;7
approved;0.68;24;51
approving;0.25;3;1
approx;1;0;1
approximate;1;0;1
approximately;0.615384615384615;5;8
apps;1;0;2
apron;1;0;1
apt;0.272727272727273;8;3
aptitude;1;0;1
arbitrary;0;1;0
arbitration;1;0;2
arbor;1;0;3
arch;1;0;1
archaic;0;1;0
architect;1;0;2
architectural;0.666666666666667;2;4
architecture;1;0;1
arcing;0.5;1;1
area;0.861809045226131;55;343
areas;0.796610169491525;12;47
arena;1;0;1
argue;0.3;7;3
argued;0;3;0
arguing;0;7;0
argument;0;4;0
argumentative;0;1;0
arguments;0.5;1;1
aria;0;1;0
arias;0;1;0
arise;0.923076923076923;1;12
arises;1;0;7
arising;1;0;1
arm;0.576923076923077;11;15
armed;1;0;1
arms;0.823529411764706;3;14
army;0.5;2;2
aromas;1;0;1
arose;1;0;2
arrange;0.666666666666667;1;2
arranged;0.8;1;4
arrangement;1;0;15
arrangements;0.964285714285714;1;27
arranges;1;0;1
arranging;1;0;1
array;1;0;2
arrest;0.833333333333333;1;5
arrested;1;0;9
arrival;0.85;3;17
arrive;0.555555555555556;12;15
arrived;0.78343949044586;34;123
arrives;0.6;2;3
arriving;0.583333333333333;5;7
arrogant;0.142857142857143;6;1
arroyo;1;0;1
art;0.943820224719101;5;84
arteries;0;1;0
artery;0;1;0
arthritis;1;0;2
arthroscope;1;0;1
artifacts;1;0;2
artificial;1;0;1
artisan;1;0;3
artisans;1;0;1
artist;0.91304347826087;4;42
artistic;1;0;8
artistry;1;0;1
artists;0.947368421052632;1;18
arts;1;0;50
artwork;1;0;10
artworks;1;0;1
asap;0.709677419354839;9;22
asbestos;0;2;0
ash;1;0;2
ashamed;0.5;6;6
ashes;1;0;1
ashtray;1;0;1
asked;0.401574803149606;228;153
asks;0.76;6;19
asleep;1;0;5
aspect;0.956521739130435;1;22
aspects;0.958333333333333;1;23
asphalt;0.875;1;7
aspire;1;0;1
aspiring;1;0;2
ass;0.538461538461538;6;7
assault;1;0;7
assaulted;0;2;0
assaulting;0;1;0
assembled;1;0;1
assembly;0;1;0
asserted;0;1;0
assess;0.866666666666667;2;13
assessed;1;0;9
assessing;1;0;1
assessment;0.538461538461538;6;7
asset;1;0;19
assets;1;0;3
assign;0.4;3;2
assigned;1;0;14
assignments;0.5;1;1
assist;0.673469387755102;16;33
assistance;0.822222222222222;8;37
assistant;0.865168539325843;12;77
assistants;0.833333333333333;5;25
assisted;0.972222222222222;1;35
assisting;0.911764705882353;3;31
assists;1;0;1
associate;0.692307692307692;4;9
associated;0.416666666666667;7;5
associates;0.866666666666667;4;26
association;0.916666666666667;2;22
associations;1;0;1
assorted;1;0;2
assortment;1;0;1
asst;0.5;1;1
assume;0.285714285714286;5;2
assumed;0.666666666666667;1;2
assuming;0.4;3;2
assumptions;0.333333333333333;2;1
assurance;0.5;1;1
assure;1;0;6
assured;0.783783783783784;8;29
assuredly;0;1;0
assuring;1;0;4
asthma;1;0;1
astonished;0.666666666666667;1;2
astonishing;0;1;0
astounding;1;0;2
astray;1;0;1
astronomical;0;2;0
astute;1;0;2
ate;0.875;2;14
athlete;1;0;6
athletes;1;0;2
athletic;1;0;3
athleticism;1;0;1
athletics;1;0;1
atlas;0;2;0
atmosphere;0.955357142857143;10;214
attach;0;3;0
attached;0.5;6;6
attachment;1;0;1
attack;0.1875;13;3
attacked;0.1;9;1
attacking;1;0;1
attacks;0.333333333333333;2;1
attain;0.5;1;1
attainable;1;0;1
attempt;0.266666666666667;11;4
attempted;0.230769230769231;10;3
attempting;0;3;0
attempts;0.4;6;4
attend;0.916666666666667;4;44
attendance;1;0;6
attendant;0.333333333333333;2;1
attendants;0.5;1;1
attended;0.848837209302325;13;73
attendees;1;0;3
attending;0.964912280701754;2;55
attends;0.95;1;19
attention;0.920502092050209;19;220
attentions;1;0;1
attentive;0.981042654028436;4;207
attentively;1;0;1
attentiveness;1;0;7
attest;1;0;1
attic;0.793103448275862;6;23
attire;1;0;1
attired;1;0;1
attitude;0.494736842105263;48;47
attitudes;0.782608695652174;5;18
attorney;0.904761904761905;12;114
attorneys;0.979166666666667;1;47
attract;0.333333333333333;2;1
attracted;0;1;0
attractive;0.5;2;2
attribute;1;0;2
attributed;1;0;1
attributes;1;0;2
attuned;1;0;1
auction;0.25;6;2
auctions;0.5;1;1
audacity;0;1;0
audience;1;0;1
audio;1;0;3
auditorium;1;0;1
augmenting;1;0;1
august;0.576923076923077;11;15
aunt;0.666666666666667;1;2
aunts;1;0;2
aurora;1;0;2
authentic;1;0;25
authenticity;1;0;2
author;1;0;1
authorities;0.666666666666667;1;2
authority;0.5;2;2
authorization;0.2;4;1
authorize;0;6;0
authorized;0;6;0
autism;1;0;4
autistic;0.333333333333333;2;1
auto;0.871428571428571;9;61
automated;0.125;7;1
automatic;0.5;1;1
automatically;0.333333333333333;6;3
automation;1;0;1
automobile;1;0;1
automobiles;1;0;1
automotive;1;0;8
autos;1;0;4
autumn;1;0;2
avail;0;3;0
availability;0.454545454545455;6;5
available;0.759433962264151;51;161
avalanche;0;1;0
ave;1;0;2
avenue;1;0;1
aver;1;0;1
average;0.85;3;17
averaging;0;1;0
avid;1;0;3
avocado;0.5;3;3
avoid;0.241935483870968;47;15
avoided;0.6;2;3
avoiding;0.333333333333333;2;1
avoids;1;0;1
aw;0;1;0
await;1;0;1
awaited;1;0;2
awaiting;0;2;0
awake;1;0;1
awaken;1;0;1
awakened;0;1;0
award;1;0;3
awarded;1;0;2
awards;0.8;1;4
aware;0.5;24;24
awareness;1;0;2
away;0.677165354330709;123;258
awe;0.8;1;4
awed;1;0;1
awesome;0.992766726943942;8;1098
awesomeness;1;0;2
awful;0.244897959183673;37;12
awhile;1;0;8
awkward;0.333333333333333;2;1
awkwardly;0;1;0
awkwardness;1;0;1
awoke;1;0;2
axis;0;5;0
axle;1;0;4
axles;1;0;1
b;0.727272727272727;9;24
babes;1;0;1
babies;0.736842105263158;10;28
baby;0.816;23;102
babysat;0;1;0
babysit;0;1;0
babysitter;1;0;1
babysitting;1;0;1
back;0.687245195107746;537;1180
backache;0;1;0
backbreaking;1;0;1
backed;0.75;2;6
background;0.769230769230769;3;10
backgrounds;1;0;2
backlogged;1;0;1
backpack;0.5;1;1
backs;1;0;1
backtrack;1;0;1
backup;0.285714285714286;5;2
backward;0.5;1;1
backwards;1;0;10
backwash;0;1;0
backyard;0.929824561403509;4;53
backyards;1;0;1
bacon;0.666666666666667;2;4
bacteria;1;0;2
bacterial;1;0;1
baddest;1;0;1
baddies;1;0;1
badly;0.444444444444444;5;4
bag;0.368421052631579;12;7
bagged;1;0;1
bags;0.571428571428571;3;4
bail;1;0;18
bailed;1;0;2
bailing;1;0;1
bait;0.6;4;6
baits;1;0;2
bake;1;0;1
baked;0.875;1;7
baker;1;0;1
bakery;1;0;2
balance;0.565217391304348;10;13
balanced;1;0;8
balances;0;1;0
balancing;1;0;5
balconies;0;1;0
balcony;0.333333333333333;4;2
bales;1;0;1
ball;0.764705882352941;4;13
balled;1;0;1
ballet;0.75;1;3
balloon;1;0;10
balloons;1;0;2
ballot;0.5;1;1
ballpark;1;0;1
balls;0.2;4;1
bamboo;0.333333333333333;2;1
ban;0;2;0
banana;0.75;1;3
band;0.909090909090909;1;10
bandage;0;1;0
bandaged;0;1;0
bands;1;0;4
bandwagon;1;0;1
bang;1;0;2
banged;0.333333333333333;2;1
banging;0;3;0
bangs;1;0;1
bank;0.43956043956044;51;40
banked;0.5;1;1
banker;0.333333333333333;2;1
bankers;0;2;0
banking;0.705882352941176;5;12
bankrupt;0.75;1;3
bankruptcy;0;2;0
banks;0.375;5;3
banned;0;1;0
bans;0;1;0
baptism;1;0;1
baptist;1;0;3
bar;0.828571428571429;12;58
barbecue;1;0;2
barber;0.848484848484848;5;28
barbers;0.833333333333333;2;10
barbershop;1;0;8
barbershops;1;0;1
barely;0.518518518518518;13;14
bargain;1;0;1
bargained;1;0;1
bargains;1;0;1
barista;1;0;2
baristas;1;0;1
bark;1;0;3
barking;1;0;2
barks;1;0;2
barn;0.875;1;7
barre;1;0;2
barred;0;1;0
barrel;0.333333333333333;2;1
barrier;0.6;2;3
barriers;1;0;1
bars;0.6;2;3
bartender;0.875;1;7
bartenders;1;0;10
base;0.5;5;5
baseball;1;0;1
based;0.821917808219178;13;60
baseline;1;0;1
bases;1;0;3
basic;0.607142857142857;11;17
basically;0.297297297297297;26;11
basics;0.666666666666667;1;2
basil;0;1;0
basin;1;0;1
basis;0.815789473684211;7;31
basket;0.625;3;5
basketball;1;0;4
baskets;0;1;0
bass;0.571428571428571;3;4
batch;1;0;1
bath;0.25;3;1
bathroom;0.631578947368421;14;24
bathrooms;0.875;2;14
baths;1;0;1
bathtub;0.5;1;1
baton;1;0;1
battered;1;0;1
batteries;0.666666666666667;1;2
battery;0.76;6;19
battle;0.8;1;4
battles;1;0;2
battleships;0;1;0
battling;1;0;4
bawling;0;1;0
bay;0.857142857142857;2;12
bays;1;0;1
bazillion;1;0;1
beach;1;0;11
beacon;1;0;1
beading;0;1;0
beads;1;0;1
beagle;1;0;2
beam;0.75;2;6
beams;0.5;1;1
bean;1;0;1
beanie;0;1;0
beans;0.714285714285714;2;5
bear;0.875;1;7
bearable;0.8;1;4
beard;0.875;1;7
bearded;1;0;1
beards;1;0;1
bearing;1;0;3
bearings;0;1;0
bears;1;0;2
beast;1;0;3
beat;0.976190476190476;1;41
beaten;1;0;1
beating;1;0;4
beatings;0;1;0
beats;1;0;3
beau;1;0;4
beautician;1;0;1
beauticians;1;0;1
beautiful;0.973105134474328;11;398
beautifully;1;0;22
beauty;0.962962962962963;1;26
beck;1;0;1
bed;0.75;9;27
bedbug;0;4;0
bedbugs;0;2;0
bedding;1;0;1
bedroom;0.459459459459459;20;17
bedrooms;0.666666666666667;1;2
beds;0.944444444444444;1;17
bedside;0.930555555555555;5;67
bee;1;0;2
beef;0.611111111111111;7;11
beep;0;2;0
beepers;0;2;0
beeping;0;4;0
beeps;0;1;0
beer;0.666666666666667;8;16
beers;1;0;5
bees;0.666666666666667;1;2
beetle;1;0;2
befell;0;1;0
befitting;1;0;1
beg;0;2;0
began;0.755555555555556;11;34
begged;0;2;0
begging;0;1;0
begin;0.818181818181818;6;27
beginner;1;0;8
beginners;1;0;6
beginning;0.842105263157895;12;64
begins;0.333333333333333;2;1
begun;1;0;1
behalf;0.8125;3;13
behave;1;0;1
behaved;1;0;10
behaving;1;0;1
behavior;0.655172413793103;10;19
behavioral;1;0;2
behaviors;0.5;1;1
behold;0.5;1;1
beings;0;1;0
belief;1;0;1
beliefs;0.5;1;1
believe;0.615942028985507;53;85
believed;0.833333333333333;1;5
believer;1;0;2
believers;1;0;4
believes;1;0;4
believing;0.6;2;3
belittling;0;3;0
bell;0.5;4;4
belle;1;0;2
belligerent;0.666666666666667;1;2
bells;1;0;1
belly;1;0;5
belong;1;0;2
belonged;1;0;2
belonging;1;0;1
belongings;0.909090909090909;1;10
belongs;1;0;3
beloved;1;0;6
below;0;2;0
belt;0.818181818181818;2;9
belts;1;0;5
benches;1;0;4
bend;0.857142857142857;1;6
bender;1;0;1
beneficial;1;0;6
beneficiary;1;0;2
benefit;0.681818181818182;7;15
benefited;1;0;1
benefits;0.8;2;8
bent;0.7;3;7
berated;0;1;0
berry;1;0;3
besmirch;1;0;1
bet;0.333333333333333;6;3
beta;1;0;1
bettering;1;0;2
betterment;1;0;1
beverage;0.666666666666667;1;2
beverages;0.833333333333333;1;5
beware;0.0487804878048781;39;2
bf;1;0;1
bias;1;0;1
biased;0.666666666666667;1;2
bible;1;0;7
bicep;0.5;1;1
bid;0.777777777777778;4;14
bidder;1;0;2
bidders;1;0;1
bidding;1;0;2
bids;1;0;11
big;0.884259259259259;25;191
bigger;0.590909090909091;9;13
biggest;0.925925925925926;2;25
biggie;1;0;2
bigots;0;1;0
bike;0.928571428571429;2;26
bikes;1;0;9
biking;0.5;1;1
bilateral;1;0;1
bilingual;1;0;2
bill;0.461538461538462;77;66
billed;0.105263157894737;17;2
billet;1;0;2
billiard;1;0;1
billiards;1;0;1
billing;0.534883720930233;20;23
billings;1;0;1
billion;1;0;1
bills;0.5;15;15
bind;0.875;1;7
binder;1;0;1
bio;1;0;2
biology;0;1;0
biopsy;1;0;1
bipolar;0;2;0
bird;1;0;1
birds;1;0;4
birth;0.75;5;15
birthday;0.803921568627451;10;41
birthdays;1;0;2
biscuit;1;0;1
biscuits;0;2;0
bit;0.815789473684211;21;93
bite;0.875;1;7
bites;0.222222222222222;7;2
biting;0.75;2;6
bits;1;0;2
bitten;0;1;0
bitter;0;1;0
biweekly;1;0;8
bk;0;1;0
black;0.488372093023256;22;21
blackmail;0;1;0
blackouts;0;1;0
blacks;0.5;1;1
bladder;0.75;1;3
blade;0.8;1;4
blades;1;0;1
blah;0.7;3;7
blame;0.166666666666667;15;3
blamed;0.111111111111111;8;1
blames;0;3;0
blaming;0;2;0
bland;0.666666666666667;1;2
blank;0.5;1;1
blanket;0.666666666666667;2;4
blanketed;1;0;1
blankets;1;0;2
blankly;0;1;0
blaring;0;1;0
blast;0.944444444444444;1;17
blasting;0.666666666666667;1;2
blatant;0;2;0
blatantly;0;2;0
blaze;1;0;2
bleach;0;3;0
bleacher;1;0;1
bled;1;0;1
bleed;0.5;1;1
bleeding;0.0909090909090909;10;1
blend;1;0;2
blended;1;0;4
bless;0.962264150943396;2;51
blessed;1;0;69
blessing;0.977272727272727;1;43
blessings;1;0;7
blew;0.8;4;16
blind;0.333333333333333;4;2
blinding;0;1;0
blinds;0.666666666666667;1;2
blindsided;1;0;1
blink;1;0;1
blisters;0;1;0
blizzard;1;0;1
bloated;1;0;2
block;0.384615384615385;8;5
blocked;0.25;3;1
blocking;0.5;1;1
blocks;0;2;0
blogging;0;1;0
blond;0;1;0
blonde;0.5;4;4
blondish;1;0;1
blood;0.483870967741936;16;15
bloom;1;0;1
bloomed;1;0;1
blossom;1;0;3
blossomed;1;0;1
blouse;0.75;1;3
blow;0.727272727272727;3;8
blowing;0.75;1;3
blown;0.857142857142857;4;24
blowout;1;0;2
blowouts;0.5;1;1
blows;0.5;1;1
blue;0.772727272727273;5;17
blueberry;1;0;4
bluebonnet;1;0;2
blueprint;1;0;1
bluesy;1;0;1
blunt;1;0;6
blvd;0.5;1;1
board;0.765625;15;49
boarded;0.4;3;2
boarding;0.85;3;17
boards;0.222222222222222;7;2
boasts;1;0;1
boat;0.875;6;42
boating;1;0;1
boats;1;0;7
bob;1;0;6
bobble;1;0;1
bobby;1;0;5
bobcat;1;0;1
bod;1;0;1
bodega;1;0;1
bodies;1;0;2
body;0.924812030075188;10;123
bodywork;1;0;1
bogus;0.25;6;2
boiled;0;1;0
boiler;1;0;1
boiling;0;1;0
boils;1;0;1
bold;0.5;1;1
bolivar;1;0;2
bologna;0;1;0
bolt;0.888888888888889;1;8
bomb;1;0;18
bombers;0;2;0
bombs;1;0;2
bond;0.9;1;9
bonded;1;0;2
bonding;1;0;1
bonds;0.947368421052632;1;18
bone;0.4;9;6
bones;0.714285714285714;2;5
bonito;1;0;1
bonnet;1;0;7
bonus;1;0;25
bonuses;1;0;1
boogers;1;0;1
book;0.814285714285714;13;57
booked;0.575757575757576;14;19
booking;0.785714285714286;3;11
bookings;0;1;0
bookkeeping;0;1;0
books;0.863636363636364;3;19
bookstore;1;0;1
bookstores;1;0;1
bookworm;1;0;1
boom;1;0;2
boost;0.588235294117647;7;10
booster;0.333333333333333;4;2
boot;1;0;13
booth;1;0;3
booths;1;0;3
booties;1;0;1
